f_es,T_es,chisquared_avg,chisquared_000,chisquared_001,chisquared_002,chisquared_003,chisquared_004
6.584400898315223e-06,2.904188613585162,557.0998868385992,475.6524291247248,629.215490427468,280.9208357597644,686.5564407379208,713.1542381431184
6.7085997377905975e-06,2.904188613585162,567.4705827021488,499.0598668109622,656.6912128142701,276.7285653971692,673.9189719038377,730.9542965845053
6.832798577265973e-06,2.904188613585162,572.8372033546641,519.0843581939348,679.3081866221503,268.0248600744125,653.3672704340892,744.4013414487333
6.956997416741348e-06,2.904188613585162,582.9772519668239,543.1081159542974,706.4402078809798,263.829982340466,639.2867533826169,762.2212002757595
7.081196256216723e-06,2.904188613585162,596.4748831644696,569.9227110285551,736.770235354558,262.85379947244826,629.6376405821744,783.1900293846127
7.205395095692098e-06,2.904188613585162,612.5162517377897,598.8393172247927,769.5423476155319,264.3460703872229,623.2387180170512,806.61480544435
7.3295939351674735e-06,2.904188613585162,630.1233318980306,629.1255001183541,803.8138409743137,267.4030434966547,618.6815362940217,831.5927386068092
7.453792774642848e-06,2.904188613585162,642.9829782355855,656.7079420125577,833.1893656967933,266.2433773870363,607.0342371644801,851.7399689170602
7.577991614118223e-06,2.904188613585162,659.2054772227837,686.8243574916393,865.7585780025925,268.32161569694097,599.964747287007,875.1580876357391
7.702190453593599e-06,2.904188613585162,677.9010694287005,718.796232398207,900.6866788585578,272.8196670566993,596.1842353847113,901.0185334453267
7.826389293068973e-06,2.904188613585162,698.5254913887577,752.2137907886151,937.463608098406,279.23050787158587,594.8999362885551,928.819613896627
7.950588132544348e-06,2.904188613585162,720.7231299937387,786.8119230119049,975.7558532187643,287.21927283416517,595.5945387806253,958.2340621232338
8.074786972019724e-06,2.904188613585162,739.2872545653202,819.4335712207925,1010.1868708318385,291.94854187336324,590.8705640400799,983.9967248605267
8.198985811495098e-06,2.904188613585162,759.8611355666733,853.4920357540706,1046.485382362826,298.69026606326645,588.8971568740503,1011.7408367791534
8.323184650970473e-06,2.904188613585162,782.315854053678,888.8523103175753,1084.5676173029851,307.32239387486277,589.4759690677673,1041.360979705199
8.44738349044585e-06,2.904188613585162,806.2676591823727,925.2488584704433,1124.0727077198385,317.48122253874425,592.0440318237238,1072.4914753591136
8.571582329921224e-06,2.904188613585162,831.4563742355203,962.5037567037539,1164.7559623978389,328.9171940976227,596.2191880869935,1104.8857698913928
8.695781169396598e-06,2.904188613585162,853.6016266837821,997.5039732980714,1201.7185506494477,337.02852786512085,596.8775432744399,1134.8795383318309
8.819980008871974e-06,2.904188613585162,876.5708802966385,1033.071052036718,1239.33380118549,346.0321181498834,598.7198266352267,1165.6976034758745
8.944178848347349e-06,2.904188613585162,901.1144215112129,1069.7484068356976,1278.515756743409,356.7558375193018,602.5915790912816,1197.9605273663747
9.068377687822723e-06,2.904188613585162,926.9235779862541,1107.3116050273854,1318.9527016999914,368.874172941517,608.0796218776995,1231.3997883846782
9.1925765272981e-06,2.904188613585162,953.7829851911995,1145.6061608920631,1360.4271612806415,382.15862652491705,614.8939577357958,1265.82901952258
9.316775366773474e-06,2.904188613585162,978.0557616728069,1181.4824119602329,1398.5082791435293,392.38874230220154,619.6110396351459,1298.2883353229247
9.440974206248849e-06,2.904188613585162,1002.1246232162088,1217.0145238838727,1436.0659896482405,402.3979002662546,624.5073338889458,1330.6373683937304
9.565173045724225e-06,2.904188613585162,1027.5911031485061,1253.6148854991804,1475.0992468486845,414.06010541889435,631.0133066914984,1364.1679712842722
9.6893718851996e-06,2.904188613585162,1054.1908491600557,1291.0693060338494,1515.3209011542617,427.0659449154606,638.8265792699182,1398.6715144267891
9.813570724674974e-06,2.904188613585162,1081.7342594474069,1329.226014338806,1556.5247835697148,441.1937495843607,647.7285354064252,1433.9982143377272
9.93776956415035e-06,2.904188613585162,1108.1623722278614,1366.4413182602261,1596.1054512155986,454.37981052506245,655.7240152161165,1468.1612659223026
1.0061968403625723e-05,2.904188613585162,1134.0458717828558,1403.1539493837145,1634.754944908439,467.2257384953238,663.418402847503,1501.6763232792994
1.01861672431011e-05,2.904188613585162,1160.9990809323847,1440.6491285676184,1674.556414792496,481.3152811551557,672.3408533838617,1536.1337267627914
1.0310366082576475e-05,2.904188613585162,1188.835203016247,1478.780410815371,1715.3010900139295,496.4376537445688,682.2804599621346,1571.3764005452308
1.0434564922051848e-05,2.904188613585162,1217.4162715124098,1517.4409689136382,1756.8344475833992,512.4373400996077,693.0804830810545,1607.288117884349
1.0558763761527224e-05,2.904188613585162,1245.5480654449043,1555.7463050618217,1797.6012270558117,528.1816456764907,703.5907571039215,1642.6203923264768
1.06829626010026e-05,2.904188613585162,1272.8702067782208,1593.4077315495347,1837.103413332231,543.3585002999583,713.514957804109,1676.9664309052705
1.0807161440477973e-05,2.904188613585162,1300.9947011041213,1631.6058924547867,1877.4787819637759,559.461625795134,724.376629150101,1712.0505761568083
1.093136027995335e-05,2.904188613585162,1329.79181591323,1670.2461661600826,1918.5791744501553,576.3489384208862,736.0282252140752,1747.756575320951
1.1055559119428726e-05,2.904188613585162,1359.1632598298852,1709.25790345282,1960.2920471354296,593.9128491380584,748.3574016900196,1783.9960977330982
1.1179757958904099e-05,2.904188613585162,1389.0648612391658,1748.6993243046902,2002.3384936202444,611.6937713406327,761.2520735699561,1821.340643360306
1.1303956798379475e-05,2.904188613585162,1419.4657341072068,1788.6494978095452,2044.3239091343116,629.0950799202312,774.637634984374,1860.6225486875721
1.142815563785485e-05,2.904188613585162,1450.209588110261,1828.7307484801195,2086.7091614702476,647.1276749624399,788.5306192517538,1899.949736386743
1.1552354477330224e-05,2.904188613585162,1481.253664413427,1868.9249310189268,2129.436849250757,665.708278095417,802.8683989402932,1939.329864761741
1.16765533168056e-05,2.904188613585162,1512.5643355559587,1909.218339344045,2172.461802044709,684.7718733725411,817.6011904205292,1978.7684725979684
