f_es,T_es,chisquared
1.7073526474706888e-07,0.17636705308557563,15236.526362806057
2.1544346900318867e-07,0.17636705308557563,13443.304191140165
2.71858824273294e-07,0.17636705308557563,13226.780929605316
3.4304692863149193e-07,0.17636705308557563,13188.528905359222
4.3287612810830616e-07,0.17636705308557563,12149.167683081645
5.462277217684337e-07,0.17636705308557563,11909.575629760417
6.892612104349695e-07,0.17636705308557563,11525.067459799846
8.697490026177835e-07,0.17636705308557563,11033.691422580549
1.0974987654930568e-06,0.17636705308557563,10856.125841853225
1.3848863713938717e-06,0.17636705308557563,10304.040488232084
1.747528400007683e-06,0.17636705308557563,10089.749865525417
2.2051307399030456e-06,0.17636705308557563,9751.976865794104
2.782559402207126e-06,0.17636705308557563,9547.455882438831
3.5111917342151275e-06,0.17636705308557563,9303.097706149738
4.430621457583877e-06,0.17636705308557563,9109.345975263162
5.590810182512223e-06,0.17636705308557563,8944.353881310444
7.0548023107186455e-06,0.17636705308557563,8748.323416035384
8.902150854450392e-06,0.17636705308557563,8570.57326902291
1.1233240329780266e-05,0.17636705308557563,8406.768879891226
1.4174741629268048e-05,0.17636705308557563,8253.256106948456
1.7886495290574353e-05,0.17636705308557563,8115.221991145193
2.2570197196339216e-05,0.17636705308557563,8025.327320366628
2.848035868435799e-05,0.17636705308557563,7999.097450909495
3.5938136638046256e-05,0.17636705308557563,7995.261493939568
4.534878508128582e-05,0.17636705308557563,7992.614661533598
5.72236765935022e-05,0.17636705308557563,7958.145921221543
7.220809018385456e-05,0.17636705308557563,7899.605286386499
9.111627561154887e-05,0.17636705308557563,7840.480404148314
0.00011497569953977356,0.17636705308557563,7777.439820356606
0.000145082877849594,0.17636705308557563,7713.189859343137
0.0001830738280295366,0.17636705308557563,7644.8847707933055
0.0002310129700083158,0.17636705308557563,7580.972734189225
0.0002915053062825176,0.17636705308557563,7522.924802242574
0.0003678379771828634,0.17636705308557563,7470.313025999558
0.0004641588833612782,0.17636705308557563,7423.110238863913
