obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"518.9191","518.9191","0.0010","1.38e+06",C,"12.90701530","15.29629325","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).5d","2[3/2]*","2",3,5,,"T1218n,T1164n","L2634",
,"519.4179","0.0010","1.2e+04",D,"13.07571571","15.4626994","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).7d","2[5/2]*","3",7,7,,"T1218n",,
,"519.5499","0.0010","7.8e+05",D,"13.15314387","15.539521","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).8s","2[1/2]*","0",3,1,,"T1218n",,
,"521.1937","0.0010","1.1e+05",D,"13.07571571","15.4545665","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).7d","2[7/2]*","3",7,7,,"T1164n",,
,"521.6226","0.0010","2.1e+05",D,"13.09487256","15.471767","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).7d","2[3/2]*","1",5,3,,"T1164n",,
,"521.7752","0.0010","1.3e+05",D,"13.09487256","15.471072","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).9s","2[3/2]*","1",5,3,,"T1164n",,
"522.2725","522.2724","0.0010","8.8e+05",D,"13.07571571","15.4496531","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).7d","2[7/2]*","4",7,9,,"T1164n","L2634",
,"524.2552","0.0010","1.3e+05",D,"13.09487256","15.4598316","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).7d","2[5/2]*","2",5,5,,"T1164n",,
,"524.7658","0.0010","1.2e+05",E,"13.17177770","15.534435","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).8d","2[5/2]*","3",5,7,,"T1164n",,
,"525.0626","0.0010","7.9e+04",E,"13.17177770","15.533100","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).8d","2[3/2]*","2",5,5,,"T1164n",,
,"525.4249","0.0010","5.4e+05",D,"13.09487256","15.4545665","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).7d","2[7/2]*","3",5,7,,"T1164n",,
,"525.5933","0.0010","3.6e+05",E,"13.15314387","15.5120816","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).6d","2[5/2]*","2",3,5,,"T1164n",,
,"528.7540","0.0010","9.6e+04",E,"13.17177770","15.5166146","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).6d","2[5/2]*","3",5,7,,"T1164n",,
,"529.1487","0.0010","9.0e+04",E,"13.17177770","15.5148657","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).8d","2[1/2]*","1",5,3,,"T1164n",,
,"531.0990","0.0010","1.2e+05",E,"13.17177770","15.5062613","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).6d","2[3/2]*","2",5,5,,"T1164n",,
,"531.9194","0.0010","2.6e+05",E,"13.30222747","15.633111","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).7d","2[5/2]*","3",5,7,,"T1164n",,
,"537.4988","0.0010","2.7e+05",D,"13.15314387","15.4598316","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).7d","2[5/2]*","2",3,5,,"T1164n",,
,"539.5478","0.0010","9.6e+04",D,"13.17177770","15.469706","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).9s","2[3/2]*","2",5,5,,"T1164n",,
,"541.1979","0.0010","2.0e+05",D,"13.17177770","15.4626994","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).7d","2[5/2]*","3",5,7,,"T1164n",,
